id;Название;Реставрация;Размер;Автор;Материал;Персоналии;Уточняющая датировка;Век;Страна;Место хранения;Иконография;Тип изображения;Фрагменты
5668;Троица Ветхозаветная (гостеприимство Авраама);False;145,3 х 102 х 3,5;None;Дерево, темпера, серебро, басма, скань, эмаль, скань, золочение;Ангелы, Авраам, Сара;конец;16;Россия;Частная коллекция Александра Дадиани;Троица;Сюжетная композиция;Троица
5669;Димитрий Солунский;False;31 х 27;None;Дерево, темпера;Димитрий Солунский, царь Калоян;первая половина;17;Россия;Частная коллекция Александра Дадиани;Святые;Конное;Димитрий Солунский
5670;Воскресение Христово - Сошествие во ад;False;41,5 х 35,5;None;Дерево, темпера;Спаситель, Адам, Ева, ангелы, праотцы;последняя четверть;17;Россия;Частная коллекция Александра Дадиани;Страстной и Пасхальный циклы;Сюжетная композиция;Воскресение
5671;Всех скорбящих радость;False;89,4 х 64,7;None;Дерево, темпера;Спаситель, Богоматерь, ангелы;вторая четверть;18;Россия;Частная коллекция Александра Дадиани;Богоматерь;Ростовое;Всех скорбящих радость
5673;Страсти Христовы;False;64,9 х 56,5;None;Дерево, темпера, серебро, басма, золочение;Христос, Иуда, Пилат, Анна, Каиафа;конец;18;Россия;Частная коллекция Александра Дадиани;Страстной и Пасхальный циклы;Из клейм состоит;Страсти Христовы
5674;Видение Апостола Иоанна Богослова;False;33,8 х 21;None;Дерево, темпера;Иоанн Богослов, ангелы;первая треть;19;Россия;Частная коллекция Александра Дадиани;Святые;Сюжетная композиция;Видение апостола Иоанна Богослова
5675;"Богоматерь ""Честнейшая херувим""";False;80 х 62;None;Дерево;Богоматерь, младенец, ангелы, херувимы;первая половина;19;Россия;Частная коллекция Александра Дадиани;Богоматерь;Тронное;Ангелы
5676;Сильвестр Обнорский;False;22,5 х 17,5;None;Дерево, темпера;Сильвестр Обнорский;третья четверть;19;Россия;Частная коллекция Александра Дадиани;Святые;Ростовое;Сильвестр Обнорский
5677;Ангел-хранитель и избранные святые;False;35,6 х 31,1;None;Дерево, темпера;Ангел, святые;конец;19;Россия;Частная коллекция Александра Дадиани;Ангелы;Ростовое и многофигурное;Ангел и святые
5678;Илия (Муромец?);False;31,1 х 26,4;None;Дерево, темпера;Илия;начало;20;Россия;Частная коллекция Александра Дадиани;Святые;Ростовое;Илия
5684;Андрей Критский;False;61,9 х 29,8;None;Дерево, темпера;Андрей Критский;начало;20;Россия;Частная коллекция Александра Дадиани;Святые;Ростовое;Андрей Критский
5687;Складень Святитель Николай Чудотворец, Богоматерь Одигитрия, Господь Вседержитель;False;45 х 46,6 х 1,5;None;серебро, темпера, серебро, литье, чеканка, эмаль, скань, эмаль расписная, эмаль живописная, зернь, гравировка, золочение;Господь Вседержитель, Богоматерь, Николай Чудотворец;начало;20;Россия;Частная коллекция Александра Дадиани;Святые;Многофигурное;Господь Вседержитель, Богоматерь Одигитрия
5694;Складень с Богоматерью Одигитрией, мученицей Серафимой, великомученицей Екатериной;False;25,9 х 26;фабрика золотых и серебряных изделий Павла Акимовича Овчинникова;None;Богоматерь, младенец, Серафима, Екатерина;конец;19;Россия;Частная коллекция Александра Дадиани;Богоматерь;Многофигурное;Одигитрия
5696;Казанская;False;26,3 х 21,7;None;дерево, масло, серебро, чеканка, гравировка, матирование, эмаль выемчатая, золочение;Богоматерь, Спаситель;начало;20;Россия;Частная коллекция Александра Дадиани;Богоматерь;Поясное;Казанская
5706;Складень мученик Анатолий, богоматерь Иверская, господь Вседержитель;False;29,6 х 28,2;None;серебро, золочение, темпера, литье, гравировка, скань, эмаль, скань, эмаль выемчатая ;Анатолий, Богоматерь Иверская, Господь Вседержитель;начало;20;Россия;Частная коллекция Александра Дадиани;Святые;Многофигурное;Мученик Анатолий
5710;Нечаянная радость;False;31,4 х 27;None;дерево, масло, серебро, чеканка, гравировка, гильошировка, эмаль, скань, эмаль расписная, эмаль выемчатая, зернь, золочение;Спаситель, Богоматерь, грешник;начало;20;Россия;Частная коллекция Александра Дадиани;Богоматерь;Поясное;Нечаянная радость
5711;Пророк Даниил во рву львином;False;35,7 х 31,3;None;дерево, темпера, серебро, чеканка, эмаль, скань, эмаль расписная, золочение;пророк Даниил, ангелы;начало;20;Россия;Частная коллекция Александра Дадиани;Святые;Сюжетная композиция;Пророк Даниил во рву львином
