id;Название;Реставрация;Размер;Автор;Материал;Персоналии;Уточняющая датировка;Век;Страна;Место хранения;Иконография;Тип изображения;Фрагменты
1;Азовская с предстоящими;False;None;None;Дерево, левкас, темпера;Саваоф, Спаситель, Богоматерь, ангелы, ап. Петр, преподобные Антоний, Феодосий и Алипий Печерские, Моисей Угрин, Прохор, Марк, конные и пешие воины;начало;18;Россия;Государственный Исторический музей, Москва;Богоматерь;Ростовое с клеймами;Азов, Кази-Кермен
3;Аристократуса;False;57,5 х 43 см;None;Дерево, темпера;Младенец Христос, Богородица;вторая половина;13;Византия;Афон, монастырь Ватопед;Богоматерь;Поясное;Богоматерь (Аристократуса), Богоматерь (Аристократуса), Младенец Христос (Аристократуса)
4;Ахтырская;False;123 х 90 см;None;Дерево, темпера;Спаситель, Богородица;Первая четверть;19;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Поясное;None
5;Ахтырская;True;33 x 28 см;None;Дерево, левкас, темпера;Спаситель, Богородица, архангел Михаил, первомученик Стефан, Николай Чудотворец, преподобная Евдокия;конец;18;Россия;Частное собрание М.Б. Миндлина;Богоматерь;Поясное с клеймами;None
6;Белозерская;True;155,5 х 106,3 см;None;Дерево, темпера;Спаситель, Богородица, ангелы, Иоанн Предтеча, прор.Аарон, прор. Исайя, прор.Давид, прор. Иезекииль, прор. Илия, прор. Иеремия, прор. Самуил (?), прор. Нафан, прор.Елисей, три святые жены;первая половина;13;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Поясное с клеймами;"Спаситель (Белозерская), Спаситель и Богоматерь (Белозерская), Спаситель (""Белозерская"" икона Богоматери)"
11;Боголюбская (левая створка трехстворчатого складня);True;22,6 х 17,8 см;None;Дерево, левкас, темпера;Богородица, ангел хранитель, свт. Николай Чудотворец, свт. Лев, папа Римский;около 1693 г.;17;Россия;Сольвычегодский историко-художественный музей;Богоматерь;Многофигурное;None
12;Боголюбская с припадающими святителем Алексием Московским и преподобным Петром Афонским;False;110,3 х 78,8 см;None;Дерево, левкас, темпера;None;конец;17;Россия;Частное собрание Игоря Возякова;Богоматерь;Ростовое;None
13;Боголюбская;False;None;None;Дерево, левкас, темпера;Спаситель, Богоматерь, молящиеся;None;16;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Ростовое;None
14;Боголюбская;True;185 х 105 см;None;Дерево, темпера;Богородица, Спаситель, Иоанн Предтеча, архангелы;третья четверть;12;Россия;Успенский собор во Владимире;Богоматерь;Ростовое;None
15;Боголюбская;True;184,8 х 111 см;None;Дерево, темпера, металл, басма, золочение;Богородица, Спаситель, Иоанн Предтеча, архангелы;вторая половина;16;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;Богоматерь (Боголюбская)
16;Боголюбская;False;93,0 х 52,0 см;None;Дерево, темпера;Богоматерь, преподобный Алексий, человек Божий, святитель Нифонт, преподобный Илларион Новый (Далматский);середина;17;Россия;Храм Воскресения на Дебре в Костроме;Богоматерь;Ростовое;None
19;Боголюбская, в молении ростовских чудотворцев;True;53,2 х 38,6 см;None;Дерево, темпера;Богоматерь, Спаситель, святители ростовские;конец;17;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Ростовое;None
22;Боголюбская, с припадающим святым князем Андреем Боголюбским;True;31 х 26 см;None;Дерево, темпера;Спаситель, Богоматерь, благоверный князь Андрей Боголюбский;первая четверть;18;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Сюжетная композиция;Андрей Боголюбский
23;Богоматерь (из Благовещения);True;11,3 х 12 см;None;Дерево, темпера;Богородица;около 1502 г.;16;Россия;Кирилло-Белозерский историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;None
24;Богоматерь (из Благовещения);False;111 х 67,5 см;None;Дерево, темпера;Богородица;1108 - 1120 гг.;12;Греция;Галерея икон, Охрид;Богоматерь;Тронное;None
25;Богоматерь (из Благовещения);True;33 х 26 см;None;Дерево, темпера;Богородица, служанка;начало;16;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Сюжетная композиция;None
26;Богоматерь (из Благовещения);True;40,4 х 47,5 см;None;Дерево, темпера;Богородица;вторая четверть;16;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Ростовое;None
27;Богоматерь (из деисусного чина) и Преображение;False;123 х 34 см;None;Дерево, темпера;Богородица;середина;16;Россия;Псковский государственный объединенный историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое и сюжетная композиция;None
28;Богоматерь (из деисусного чина);True;191 х 72,5 см;None;Дерево, темпера;Богородица;около 1497 г.;15;Россия;Кирилло-Белозерский историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;None
29;Богоматерь (из деисусного чина);False;156 х 110 см;None;Дерево, темпера;Богородица;1572 г.;16;Россия;Кирилло-Белозерский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;None
30;Богоматерь (из деисусного чина);True;113 х 44 см;None;Дерево, темпера;Богородица;середина - вторая половина;16;Россия;Кирилло-Белозерский историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;None
31;Богоматерь (из деисусного чина);False;None;None;Дерево, левкас, темпера;Богородица;None;16;Россия;Череповецкий краеведческий музей;Богоматерь;Ростовое;None
32;Богоматерь (из деисусного чина);True;77,0 х 54,5 см;None;Дерево, левкас, темпера;Богородица;начало;16;Россия;"Частное собрание ""Акафист""";Богоматерь;Поясное;None
33;Богоматерь (из деисусного чина);False;30 х 24 см;None;Дерево, левкас, серебро, басма, гравировка, золочение;Богородица;None;17;Россия;Спасо-Преображенский Соловецкий монастырь;Богоматерь;Поясное;None
35;Богоматерь (из деисусного чина);False;313 х 106 см;None;None;Богородица;1408 г.;15;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Ростовое;None
36;Богоматерь (из деисусного чина);False;22,5 х 17,5 см;None;Дерево, темпера;Богородица;первая четверть;15;Россия;Псковский государственный объединенный историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;None
37;Богоматерь (из деисусного чина);False;136 х 52 см;None;Дерево, темпера;Богоматерь;середина;16;Россия;Псковский государственный объединенный историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;Богоматерь (из деисусного чина)
38;Богоматерь (из деисусного чина);False;145 х 65 см;None;Дерево, темпера;None;вторая половина;16;Россия;Псковский государственный объединенный историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;None
39;Богоматерь (из деисусного чина);False;39,9 х 33,1;Мастер Перша;Дерево, темпера;None;последняя четверть;16;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Поясное;None
40;Богоматерь (из деисусного чина);True;148 х 93 см;None;Дерево, темпера;Богородица;1387 - 1395 гг.;14;Греция;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
41;Богоматерь (из деисусного чина);True;140 х 52 см;None;Дерево, темпера;Богородица;None;14;Балканы;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
42;Богоматерь (из деисусного чина);True;168 х 72,5 см;None;Дерево, темпера;Богородица;последняя четверть;15;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Ростовое;Богоматерь (из деисусного чина), Богоматерь
43;Богоматерь (из деисусного чина);True;97,5 х 64 см;None;Дерево, темпера;Богородица;первая треть;16;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Поясное;None
44;Богоматерь (из деисусного чина);True;100,5 х 73 см;None;Дерево, темпера;Богородица;первая половина;16;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Ростовое;None
46;Богоматерь (из деисусного чина);True;32,4 x 26,6 см;None;Дерево, темпера, серебро, чеканка, гравировка, золочение;Богоматерь;середина;17;Россия;Костромской государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;None
47;Богоматерь (из деисусного чина);True;228,8 х 78,5 см;None;Дерево, темпера, металл цветной, басма, чеканка, позолота;Богоматерь;1652 г.;17;Россия;Костромской государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;None
48;Богоматерь (из деисусного чина);True;130 х 56 см;None;Дерево, темпера;Богоматерь;последняя четверть;15;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Ростовое;Богоматерь (из деисусного чина)
49;Богоматерь (из деисусного чина);False;108 x 43 см;None;Дерево, темпера;Богоматерь;начало;18;Россия;Рязанский государственный историко-архитектурный музей-заповедник;Богоматерь;Ростовое;None
51;Богоматерь (из деисусного чина);False;41,2 х 32 х 2,3;None;Дерево, темпера;Богородица;18 - 19 вв.;18;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Поясное;None
52;Богоматерь (из деисусного чина);True;192 х 66,5 см;None;Дерево, левкас, темпера;Богородица;около 1515 г.;16;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;Богоматерь, Богоматерь, Богоматерь
53;Богоматерь (из деисусного чина);False;177 х 56 см;None;Дерево, левкас, темпера;Богородица;первая четверть;16;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;Богоматерь (из деисусного чина)
54;Богоматерь (из деисусного чина);True;80 х 57,5 см;None;Дерево, левкас, темпера;Богоматерь;первая половина;15;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Поясное;Богоматерь (из деисусного чина)
55;Богоматерь (из деисусного чина);True;178 x 76 см;None;Дерево, левкас, темпера;Богородица;начало;18;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;None
56;Богоматерь (из деисусного чина);True;94 х 36 см;None;Дерево, левкас, темпера;Богородица;около 1517 г.;16;Россия;Череповецкое музейное объединение;Богоматерь;Ростовое;None
58;Богоматерь (из деисусного чина);False;98,5 х 64 см;None;Дерево, левкас, темпера;Богородица;None;14;Сербия;Афон, монастырь Хиландар;Богоматерь;Поясное;None
59;Богоматерь (из деисусного чина);True;26,8 х 21,0 см;None;Дерево, левкас, темпера, серебро, басма, чеканка, скань;Богородица;первая треть;16;Россия;Частное собрание В.А. Бондаренко;Богоматерь;Поясное;None
60;"Богоматерь (из композиции "" Распятие "")";True;33,4 х 14,8 см;None;Дерево, левкас, темпера;Богородица;начало;17;Греция;Государственный Исторический музей, Москва;Богоматерь;Ростовое;None
62;Богоматерь (на престоле, с предстоящими архангелами);False;Диаметр 27,7 см;None;Дерево, левкас, темпера;Богоматерь, архангел Михаил, архангел Гавриил;начало;16;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Сюжетная композиция;None
63;Богоматерь (оплечная);True;35,5 x 31,5 см;None;Дерево, левкас, темпера;Богородица;конец;16;Крит;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Богоматерь;Оглавное или оплечное;None
64;Богоматерь (оплечная);True;46 х 36,5 см;None;Дерево, левкас, темпера;Богородица;первая половина;17;Крит;Государственный музей изобразительных искусств имени А.С.Пушкина, Москва;Богоматерь;Оглавное или оплечное;None
65;Богоматерь (оплечная);True;45 х 34,7 х 1,7;None;Дерево, темпера;Богородица;около 1600 г.;17;Крит;Собрание Велимезиса;Богоматерь;Оглавное или оплечное;None
68;Богоматерь и Иоанн Богослов (на обороте Видение пророка Иезекииля и Аввакума);False;93 х 61 см;None;Дерево, темпера;Богородица, Иоанн Богослов;1371 г.;14;Болгария;Музей икон, София;Богоматерь;Ростовое;None
69;Богоматерь с Младенцем (в рост);False;29,5 х 23,5 см;None;Дерево, темпера;Младенец-Христос, Богородица;начало;15;Греция;Афон, монастырь Пантократор;Богоматерь;Ростовое;None
70;Богоматерь с Младенцем (в рост, с предстоящими архангелом и Николаем Чудотворцем);True;32 х 26,8 см;None;Дерево, левкас, темпера;Спаситель, Богоматерь, архангел, свт. Николай Чудотворец;конец;16;Греция;Государственный Исторический музей, Москва;Богоматерь;Многофигурное;None
71;Богоматерь с Младенцем (в рост, с предстоящими ростовскими чудотворцами);True;36 х 32 см;None;Дерево, темпера;Младенец-Христос, Богородица, святитель Николай, святители ростовские Иаков, Игнатий, Леонтий и Исаия, преподобный Сергий Радонежский, святитель Алексий Московский, преподобный Зосима Соловецкий и ростовские святые - Исидор Твердислов и преподобный Авраамий, Иоанн Богослов, Иоанн Предтеча, преподобный Савватий Соловецкий, Никита Столпник, великомученица Екатерина;вторая половина - конец;17;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Многофигурное;None
74;Богоматерь с Младенцем (на престоле);False;81,5 х 49 см;None;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;1275 - 1300 гг.;13;Греция;Национальная галерея в Вашингтоне;Богоматерь;Тронное;None
75;Богоматерь с Младенцем (на престоле);False;None;None;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;середина;13;Греция;Национальная галерея в Вашингтоне;Богоматерь;Тронное;None
78;Богоматерь с Младенцем (на престоле);False;56,5 х 39,5 см;None;Дерево, темпера;Младенец-Христос, Богородица;17 - 18 вв. ;17;Греция;Афон, монастырь Пантократор;Богоматерь;Тронное;None
81;Богоматерь с Младенцем (на престоле);False;103 x 58,5 см;None;Дерево, темпера;Спаситель, Богоматерь;первая четверть;18;Россия;Новгородский государственный объединенный музей-заповедник;Богоматерь;Ростовое;None
82;Богоматерь с Младенцем (на престоле);True;88 х 70 х 2;None;Дерево, темпера;Спаситель, Богородица;начало;16;Крит;Собрание Велимезиса;Богоматерь;Ростовое;Спаситель и Богоматерь
83;Богоматерь с Младенцем (на престоле);False;25,5 x 34 inc;None;Дерево, левкас, темпера;None;15 - 16 вв.;15;Крит;Музей Бенаки, Афины;Богоматерь;Сюжетная композиция с клеймами;None
84;Богоматерь с Младенцем (на престоле);False;None;Мануил Панселин;Фреска;None;None;11;Греция;Афон;Богоматерь;Тронное;None
85;Богоматерь с Младенцем (на престоле);False;164 х 90 см;Андреас Рицос;Дерево, левкас, темпера;None;вторая половина;15;Греция;Монастырь Пантанаса, Мистра;Богоматерь;Сюжетная композиция;None
87;Богоматерь с Младенцем (на престоле);True;105 х 56 см;Андреас Рицос;Дерево, левкас, темпера;Спаситель, Богоматерь;None;15;Греция;Государственный Эрмитаж, Санкт-Петербург;Богоматерь;Тронное;None
89;Богоматерь с Младенцем (на престоле);False;None;None;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;None;17;Греция;Византийский и христианский музей, Афины;Богоматерь;Тронное;None
90;Богоматерь с Младенцем (на престоле);False;75 x 51см;None;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;начало;18;Греция;Византийский и христианский музей, Афины;Богоматерь;Тронное;None
91;Богоматерь с Младенцем (на престоле, с избранными святыми);True;98 х 31,6 см;None;Дерево, левкас, темпера;Спаситель, Богородица, свт. Григорий Двоеслов папа Римский, преп. Ефрем Сирин, преп. Зосима пустынник, преп. Алексий Человек Божий, сщмч. Власий, сщмч. Антипа, преп. Мария Египетская;середина;17;Россия;Сольвычегодский историко-художественный музей;Богоматерь;Ростовое с клеймами;None
92;Богоматерь с Младенцем (на престоле, с предстоящим Никитой Новгородским);True;31 х 26 см;None;Дерево, басма, скань;Младенец-Христос, Богоматерь, свт. Никита Новгородский;первая половина;17;Россия;Спасо-Преображенский Соловецкий монастырь;Богоматерь;Тронное;None
95;Богоматерь с Младенцем (на престоле, с предстоящими ангелами);False;34,5 х 26 см;None;Дерево, темпера;Младенец-Христос, Богоматерь, архангел Михаил, архангел Гавриил;None;13;Египет;Монастырь святой Екатерины на Синае;Богоматерь;Тронное;None
96;Богоматерь с Младенцем (на престоле, с предстоящими ангелами);False;200 x 133 см;None;Дерево, энкаустика;Богородица, Спаситель, ангелы;конец;7;Италия;Базилика Санта Мария ин Трастевере, Рим;Богоматерь;Тронное;Ангел (слева), Ангелы, Спаситель и Богоматерь (на престоле)
97;Богоматерь с Младенцем (на престоле, с предстоящими);False;68,5 х 49,7 см;None;None;Спаситель, Богородица, ангелы, мученик;8 - 7 вв.;6;Египет;Монастырь святой Екатерины на Синае;Богоматерь;Многофигурное;Спаситель и Богоматерь
98;Богоматерь с Младенцем (на престоле, с предстоящими);False;36 х 30,5 см;Мастер Строгановской школы;Дерево, темпера;Спаситель, Богоматерь, мученик Никита, великомученица Анастасия;None;16;Россия;Дом-музей П. Д. Корина (Государственная Третьяковская галерея);Богоматерь;Многофигурное;None
99;Богоматерь с Младенцем (на престоле, с предстоящими);True;84 x 66 см;None;Дерево, левкас, темпера;Спаситель, Богородица, ангелы, свт. Николай, сщмч. Климент;None;14;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Тронное;None
100;Иерусалимская;True;111,5 х 84 см;None;Дерево, темпера;Спаситель, Богоматерь;первая половина;16;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Поясное;Богоматерь, Спаситель (Иерусалимская)
101;Богоматерь с Младенцем (поясная, с предстоящим Франциском Ассизским);False;60 х 52 см;None;Дерево, левкас, темпера;Спаситель, Богородица,св. Франциск Ассизский;вторая половина;15;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;None
102;Богоматерь с Младенцем;True;21 х 17 см;None;Дерево, левкас, темпера;Спаситель, Богородица;15 - 16 вв.;15;Крит;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Поясное;None
103;Богоматерь с Младенцем;True;None;None;Дерево, левкас, темпера;Спаситель, Богородица;None;15;Балканы;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
104;Богоматерь с Младенцем;False;111 х 77,5 см;None;Дерево, темпера;Младенец-Христос, Богородица;вторая половина;16;Македония;Афон, монастырь Пантократор;Богоматерь;Поясное;None
105;Богоматерь с Младенцем;False;60 х 52,5 см;None;Дерево, темпера;Младенец-Христос, Богородица;вторая половина;16;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Поясное;None
106;Богоматерь с Младенцем;True;147,5 х 95,5 см;None;Дерево, темпера;Младенец-Христос, Богородица;1340 - 1350 гг.;14;Россия;Новгородский государственный объединенный музей-заповедник;Богоматерь;Ростовое;Богоматерь, Спаситель
107;Богоматерь с Младенцем;False;34 х 23 см;None;Мозаика;Спаситель, Богородица;None;12;Египет;Монастырь святой Екатерины на Синае;Богоматерь;Поясное;None
110;Богоматерь с Младенцем;False;96,5 x 48 см;None;Дерево, темпера;Спаситель, Богоматерь;середина;18;Россия;Частное собрание;Богоматерь;Ростовое;None
113;Богоматерь с Младенцем;False;None;None;Дерево, левкас, темпера;Спаситель, Богоматерь;None;19;Россия;None;Богоматерь;Поясное;None
114;Богоматерь с Младенцем;False;106,2 х 76 х 4,5;None;Дерево, темпера;Спаситель, Богородица;1732 г.;18;Болгария;Мельник, Болгария;Богоматерь;Поясное;None
115;Богоматерь с Младенцем;False;99 х 67,5 см;None;Дерево, левкас, темпера;Младенец-Христос, Богородица;None;13;Кипр;Храм святой Параскевы в Мутулласе, Кипр;Богоматерь;Поясное;None
116;Богоматерь с Младенцем;False;115 х 71,5 см;None;Дерево, левкас, темпера;Спаситель, Богородица;None;12;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;Спаситель и Богоматерь
117;Богоматерь с Младенцем;False;117,5 х 75 см;None;Дерево, левкас, темпера;Спаситель, Богородица;начало;13;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;None
118;Богоматерь с Младенцем;False;107 х 73,5 ( мозаика 92 х 62 ) см;None;Мозаика;Спаситель, Богородица;None;13;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;None
119;Богоматерь с Младенцем;False;103 х 85 см;None;Дерево, левкас, темпера;Спаситель, Богородица;первая половина;14;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;None
120;Богоматерь с Младенцем;False;91 х 55 см;None;Дерево, левкас, темпера;Спаситель, Богородица;вторая половина;14;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;Крест на оборотной стороне иконы, Спаситель и Богоматерь
121;Богоматерь с Младенцем;False;None;None;Дерево, левкас, темпера;Спаситель, Богородица;None;14;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;None
123;Богоматерь с Младенцем;False;60,5 х 45 см;None;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;около 1500 г.;15;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;None
124;Богоматерь с Младенцем;False;71,5 х 52,5 см;None;Дерево, левкас, темпера;Спаситель, Богородица;около 1500 г.;16;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;None
125;Богоматерь с Младенцем;False;None;None;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;None;17;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;None
126;Богоматерь с Младенцем;True;48 х 36 см;None;Дерево, левкас, темпера;Спаситель, Богородица;около 1500 г.;15;Крит;Государственный Исторический музей, Москва;Богоматерь;Поясное;None
127;Богоматерь с Младенцем;True;46 х 40,2 см;None;Дерево, левкас, темпера;Спаситель, Богородица;около 1500 г.;16;Крит;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
128;Богоматерь с Младенцем;True;35,4 х 28,4 см;None;Дерево, левкас, темпера;Спаситель, Богородица;15 - 16 вв.;15;Крит;Государственный Исторический музей, Москва;Богоматерь;Поясное;None
129;Бысть чрево Твое Святая Трапеза;False;72 x 58,5 см;None;Дерево, темпера;Спаситель, Богоматерь;вторая половина;18;Россия;Государственный музей истории религии, Санкт-Петербург;Богоматерь;Поясное;None
130;Ватопедская;True;27,2 х 20,5 см;None;Дерево, левкас, темпера;Спаситель, Богородица;None;18;Греция;Государственный Исторический музей, Москва;Богоматерь;Поясное;None
131;Великая Панагия;False;194 х 120 см;None;Дерево, темпера;Младенец-Христос, Богородица;около 1224 г.;13;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;Богоматерь (Великая Панагия), Ангел (Богоматерь Великая  Панагия ), Ангел (Богоматерь Великая Панагия), Спаситель (Великая Панагия)
132;Великая Панагия, Никола и Георгий;False;83 х 68 см;None;None;Богоматерь Великая Панагия, свт. Николай, вмч. Георгий;конец;15;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
134;Взыграние Младенца (с праздниками);False;None;None;Дерево, левкас, темпера;Спаситель, Богородица;вторая половина;14;Византия;Собрание Вселенской Патриархии в Стамбуле;Богоматерь;Поясное с клеймами;None
135;Взыграние Младенца;False;31,1 х 22,2 см;None;Дерево, левкас, темпера;Спаситель, Богородица;13 - 14 вв. ;13;Адриатическое побережье;Монастырь святой Екатерины на Синае;Богоматерь;Поясное;None
136;Взыграние Младенца;False;145,5 х 117 см;None;Дерево, темпера;Спаситель, Богоматерь;вторая четверть;18;Россия;Государственный музей истории религии, Санкт-Петербург;Богоматерь;Поясное;None
137;Взыскание погибших;False;31,5 х 24,5 см;None;Дерево, темпера;Спаситель, Богоматерь;около 1783 г.;18;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Поясное;None
138;Взыскание погибших, с праздниками;False;55,6 х 44,8 см;None;Дерево, левкас, темпера;None;вторая треть;19;Россия;Частное собрание Игоря Возякова;Богоматерь;Поясное с клеймами;None
139;Виленская;False;None;None;Дерево, левкас, темпера;Спаситель, Богоматерь, апостол Иаков, преп.Ксения;None;17;Россия;Государственный музей истории религии, Санкт-Петербург;Богоматерь;Поясное;None
140;Владимирская (Волоколамская);False;22,5 х 19,5 см;None;Дерево, темпера, серебро, чеканка;Младенец-Христос, Богородица;начало;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
141;Владимирская (Волоколамская);False;36,7 х 31,6 см;None;Дерево, темпера;Младенец-Христос, Богородица;None;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
142;Владимирская (Чудотворная);True;104 х 69, первоначально 78 х 55 см;None;Дерево, темпера;Спаситель, Богоматерь;первая половина;12;Византия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;Спаситель и Богоматерь (Владимирская), Крест (Оборот Владимирской иконы Богоматери)
145;Владимирская (на обороте Иоанн Златоуст, апостол Филипп, священномученик Ипатий Гангрский);True;59,6 х 47;None;Дерево, темпера, серебро,басма,золочение;Спаситель, Богоматерь;конец;16;Россия;Костромской государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;None
146;Владимирская (на обороте святые благоверные князья Владимир, Борис и Глеб);True;60 х 42,8 см;None;Дерево, темпера;Спаситель, Богоматерь;None;16;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Поясное;None
147;Владимирская с Василием Великим и Соломонией на полях;True;34,5 х 30 см;None;Дерево, темпера;Спаситель, Богоматерь, святитель Василий Великий, праведная Соломония;1560 - 1570 гг.;16;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Поясное;Богоматерь (Владимирская), Василий Великий, Соломония праведная
148;Владимирская с житием Иоакима, Анны и Богоматери;False;154 х 123 см;None;Дерево, темпера;Младенец-Христос, Богородица;вторая половина;16;Россия;Псковский государственный объединенный историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное с клеймами;Анна праведная, Встреча Иоакима и Анны у Золотых ворот, Моление Иоакима о даровании чада
150;Владимирская с избранными святыми;False;106 х 73 см;None;Дерево, темпера;Младенец-Христос, Богородица, архангел Михаил, архангел Гавриил, пророк Илия, апостол Петр, мученик Феодор Тирон, святитель Николай Мирликийский, мученица Татиана, апостол Павел, апостол Иоанн Богослов, великомученик Феодор Стратилат, митрополит Алексий Московский, мученица Анастасия;середина;16;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Поясное;None
153;Владимирская с праздниками;False;None;None;Дерево, левкас, темпера;Спаситель, Богородица;конец;16;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное с клеймами;Благовещение, Путешествие волхвов, возвращение волхвов
157;Владимирская с праздниками и избранными святыми;False;107,5 x 69,5;None;Дерево, левкас, темпера;Спаситель, Богородица;около 1514 г.;16;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Богоматерь;Поясное;None
