id;Название;Реставрация;Размер;Автор;Материал;Персоналии;Уточняющая датировка;Век;Страна;Место хранения;Иконография;Тип изображения;Фрагменты
2;Акафистная;False;92 x 71 см;Иван Григорьев Марков (?);Дерево, темпера;Спаситель, Богоматерь;первая четверть;18;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Многофигурное;Богоматерь с Младенцем (Акафистная)
7;Благодатное Небо;True;165,0 х 59,0 см;Патракеев Филипп;Дерево;Спаситель, Богоматерь;1794 г.;18;Россия;"Музей-заповедник ""Щелыково""";Богоматерь;Ростовое;None
8;Благодатное Небо;False;123,5 x 52,5 см;Иван Казаринов;Дерево, темпера;Спаситель, Богоматерь;1741 г.;18;Россия;Пермская государственная художественная галерея;Богоматерь;Ростовое;None
9;"Блаженное Чрево (""Барловская"")";True;31 х 27 см;Иван Авксентиев;Дерево, темпера, серебро, чеканка, канфарение, чернь, золочение;Спаситель, Богоматерь;1664 г.;17;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;Спаситель (Блаженное Чрево)
10;Блаженное Чрево;False;31 x 26,5 см;Трофим Дорохов;Дерево, темпера;Спаситель, Богоматерь;1799 г.;18;Россия;Государственный музей истории религии, Санкт-Петербург;Богоматерь;Поясное;None
17;Боголюбская;False;88 х 54 см;Василий Иванов Уланов;Дерево, темпера;Спаситель, Богоматерь, Иоанн Предтеча, ангелы;1712 г.;18;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
20;Боголюбская, с избранными святыми;False;35,9 х 29,8 см;Семен Бороздин;Дерево, темпера;Спаситель, Богородица, ангелы, избранные святые;16 - 17 вв. ;16;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Ростовое;None
21;Боголюбская, с избранными святыми;False;35 x 15 см (створы ), 35 x 30 см (средник );Истома Савин;Дерево, левкас, темпера;Спаситель, Богородица, святые;начало;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
34;Богоматерь (из деисусного чина);False;210 х 109 см;Феофан Грек (?);Дерево, темпера;Богородица;последняя четверть;14;Россия;Благовещенский собор Московского Кремля;Богоматерь;Ростовое;Богоматерь (из деисусного чина)
45;Богоматерь (из деисусного чина);True;235 х 100 см;Мастер Аарон, Феофанов (?) сын;Дерево, темпера, серебро, басма, золочение, оброн, эмаль,;Богоматерь;1438 г.;15;Россия;Софийский собор, Новгород;Богоматерь;Ростовое;None
50;Богоматерь (из деисусного чина);True;155 x 62 см;Дионисий;Дерево, левкас, темпера;Богородица;около 1502 г.;16;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
57;Богоматерь (из деисусного чина);True;139 х 45 см;Круг Федора Трофимова;Дерево, левкас, темпера;Богородица;1590 - 1599 гг.;16;Россия;"Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник ""Коломенское""";Богоматерь;Ростовое;Богоматерь (из деисусного чина)
61;"Богоматерь (из композиции "" Распятие "")";False;51 х 26,5 см;Онуфрий из Аргоса;Дерево, темпера;Богородица;середина;16;Македония;Митрополия в Битоле;Богоматерь;Ростовое;None
76;Богоматерь с Младенцем (на престоле);True;214 х 142 см;Артемий Катунец;Дерево, темпера, серебро, чеканка, золочение;Младенец-Христос, Богородица;1688 г.;17;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Тронное;None
77;Богоматерь с Младенцем (на престоле);False;114,5 х 49,7 см;Критская школа;Дерево, темпера;Младенец-Христос, Богородица, ангелы;15 - 16 вв.;15;Греция;Афон, монастырь Пантократор;Богоматерь;Тронное;None
79;Богоматерь с Младенцем (на престоле);True;151 х 108 см;Андрей Лаврентьев, Иван Дерма Ярцев;Дерево, темпера, серебро, басма, золочение, оброн, эмаль;Богоматерь с Младенцем;1509 г.;16;Россия;Софийский собор, Новгород;Богоматерь;Ростовое;None
80;Богоматерь с Младенцем (на престоле);False;173 х 100 см;Иван и Афанасий Шустовы;Дерево, темпера;Спаситель, Богоматерь, ангелы;1747 г.;18;Россия;Государственный историко-архитектурный и художественный музей-заповедник «Новый Иерусалим»;Богоматерь;Сюжетная композиция;None
86;Богоматерь с Младенцем (на престоле);True;142,4 х 70,6 см;Богдан Соболев;Дерево, левкас, темпера;Спаситель, Богородица;1609 г.;17;Россия;Сольвычегодский историко-художественный музей;Богоматерь;Тронное;None
88;Богоматерь с Младенцем (на престоле);False;106 х 66 см;Эммануил Тзанес;Дерево, левкас, темпера;Спаситель, Богоматерь;1664 г.;17;Греция;Византийский и христианский музей, Афины;Богоматерь;Тронное;None
94;Богоматерь с Младенцем (на престоле, с предстоящими Давидом и Соломоном);False;60,8 х 60,9 см;Новгородский мастер (?);Дерево, паволока, левкас, серебро, басма, темпера, скань;Спаситель, Богоматерь, проров давид, пророк Соломон;1560 - 1570 гг.;16;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Богоматерь;Ростовое;Соломон пророк
108;Богоматерь с Младенцем;False;209,5 x 91 см;Мина Лукич Колокольников I?);Дерево, масло;Спаситель, Богоматерь, ангелы;середина;18;Россия;Санкт-Петербургская епархия;Богоматерь;Ростовое;None
109;Богоматерь с Младенцем;False;31,5 х 25,9 см;Афанасий Васильев;Дерево, масло;Спаситель, Богоматерь;1766 г.;18;Россия;Частное собрание;Богоматерь;Поясное;None
111;Богоматерь с Младенцем;False;71,5 х 34,5 см;Иван Кендерский;Дерево, масло;Спаситель, Богоматерь, ангелы;1781 г.;18;Россия;Частное собрание;Богоматерь;Ростовое;None
112;Богоматерь с Младенцем;False;116 x 70 см;Иван Иванов Богданов-Карбатовский, Иван Васильев Минин;Дерево, темпера;Спаситель, Богоматерь;1776 г.;18;Россия;Музей икон Пресвятой Богородицы;Богоматерь;Ростовое;None
122;Богоматерь с Младенцем;False;121 х 96,5 см;Ангелос Акотантос;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;середина;15;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;Спаситель и Богоматерь, Гиматий и ножки Спасителя
133;Вертоград Заключенный;False;33 х 29 см;Никита Павловец;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;около 1670 г.;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
143;Владимирская (Древо Государства Российского);False;105 х 62 см;Симон Ушаков;Дерево, левкас, темпера;Спаситель, Богородица;1668 г.;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное с клеймами;Спаситель и Богоматерь (Владимирская), Иоанн, Василий и Максим блаженные, Ангел, Ангел, Преподобные Сергий Радонежский и Никон Радонежский, благоверный князь Александр Невский, Митрополиты Иона, Киприан, Алексий, Митрополит Петр и благоверный князь Иоанн Данилович (Иван Калита), Царевич Дмитрий Углический, цари Феодор Иоаннович и Михаил Федорович, патриархи Филарет, Царь Алексей Михайлович за кремлевскими стенами слева от Спасской башни, Царица Мария Ильинична с царевичами у Никольской башни, Спаситель (Древо Государства Российского)
144;Владимирская (на обороте Голгофский Крест);True;104 х 70 см;Симон Ушаков;Дерево, темпера;Младенец-Христос, Богородица;1652 г.;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;Спаситель и Богоматерь (Владимирская)
149;Владимирская с избранными святыми;True;105 х 70 см;Симон Ушаков;Дерево, темпера;Спаситель, Богоматерь, архангел Михаил, архангел Гавриил, святитель Силуан, святитель Андрей Критский, архидиакон Стефан, преподобный Пимен, мученик Феодор Тирон, преподобная Мария Египетская, прпеподобная Феврония Муромская;1660 г.;17;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное с клеймами;Спаситель и Богоматерь (Владимирская), Андрей Критский, Мария Египетская
152;Владимирская с избранными святыми;True;74 x 62,5;Борис Деомидов;Дерево, левкас, темпера;Спаситель, Богородица, св. Симеон Богоприимец, св. Алексей Человек Божий, прав. Прокопий Устюжский, св. Иоанн Устюжский, вмч. Екатерина, преп. Феодора;1707 г.;18;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Многофигурное;Спаситель и Богоматерь (Владимирская)
155;Владимирская с праздниками и избранными святыми;False;31 х 27,5 (средник), 30,5 х 12,5 (створки) см;Царские изографы (?);Дерево, темпера;Младенец-Христос, Богородица, митрополиты Петр, Алексий, Иона архидьякон Стефан.;начало;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
156;Владимирская с праздниками и избранными святыми;False;Средник 44 x 41, створы 44 x 20;Прокопий Чирин;Дерево, левкас, темпера;Спаситель, Богородица;начало;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Многофигурное;None
163;Владимирская со сценами сказания;True;103,0 х 83,0 см;Уланов Кирилл (Корнилий) Иванов;Дерево, темпера;Спаситель, Богоматерь;1717 г.;18;Россия;Переславль-Залесский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное с клеймами;None
164;Владимирская со сценами сказания;True;115 х 84;Истома Савин;Дерево, левкас, темпера;Спаситель, Богородица ( ИСВ № 73 );1580 - 1590 гг.;16;Россия;Пермская государственная художественная галерея;Богоматерь;Многофигурное;None
167;Владимирская;False;102,2 х 69,5 см;Андрей Рублев;Дерево, темпера;Спаситель, Богоматерь;1395 или 1408 гг.;14;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;Спаситель и Богоматерь (Владимирская), Богоматерь (Владимирская), Младенец Христос (Владимирская икона Божией Матери)
173;Владимирская;False;138 х 104 см;Круг Дионисия;Дерево, темпера;Младенец-Христос, Богородица;начало;16;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
178;Владимирская;False;101 х 73 см;Священник Иоанн Михайлов;Дерево, темпера;Младенец-Христос, Богородица;1697 г.;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
184;Владимирская;False;33,3 х 26,7 см;Горбунов;Дерево, темпера;Младенец-Христос, Богородица;18 - 19 вв.;18;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
188;Владимирская;False;31,5 х 26,7 см;Андрей Андреевич Александров;Дерево, темпера, золото, эмаль;Младенец-Христос, Богородица;Конец;19;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
201;Владимирская;True;190,0 x 121,0 см;Уланов Кирилл (Корнилий) Иванов;Дерево, темпера;Спаситель, Богоматерь;1710 - 1720 гг.;18;Россия;Переславль-Залесский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;None
206;Владимирская;False;40,5 х 30 см;Андрей Трофимов;Дерево, темпера;Спаситель, Богоматерь;1729 г.;18;Россия;Пермская государственная художественная галерея;Богоматерь;Поясное;None
212;Владимирская;False;102 х 66 см;Круг Андрея Рублева;Дерево, темпера;Спаситель, Богородица;первая четверть;15;Россия;"Государственный историко-культурный музей-заповедник ""Московский Кремль""";Богоматерь;Поясное;Спаситель (Владимирская), Спаситель и Богоматерь (Владимирская), Младенец Христос (Владимирская), Богоматерь (Владимирская), Богоматерь (Владимирская)
213;Владимирская;True;34,5 х 28,5 см;Истома Елизаров;Дерево, левкас, темпера;Спаситель, Богородица;первая четверть;18;Россия;Сольвычегодский историко-художественный музей;Богоматерь;Поясное;None
214;Владимирская;False;25 х 17 см;Успенский Л. А.;Дерево, левкас, темпера;Младенец-Христос, Богородица;1970 - 1980 гг.;20;Франция;Частное собрание M. Berg;Богоматерь;Поясное;None
219;Воплощение (в рост, с пророком Моисеем и патриархом Евфимием);False;44,6 х 36,6 см;Петр иконописец;Дерево, темпера;Спаситель, Богородица, прор. Моисей, свт. Евфимий;около 1224 г.;13;Египет;Монастырь святой Екатерины на Синае;Богоматерь;Многофигурное;None
222;Всех скорбящих Радость;True;52,0 х 109,0 см;Квашнин Алексей Иванов;Дерево, темпера;Спаситель, Богоматерь, ангелы;1707 г.;18;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Ростовое;None
227;Всех скорбящих Радость;False;174 x 116 см;Тихон Иванов Филатьев (?);Дерево, темпера;Спаситель, Богоматерь, ангелы;1701 - 1703 гг.;18;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Сюжетная композиция;None
230;Всех скорбящих Радость;False;94 x 72 см;Стефан Артемьев Кузнецов;Дерево, темпера;Спаситель, Богоматерь, скорбящие;около 1735 г.;18;Россия;Вятское Епархиальное управление;Богоматерь;Сюжетная композиция;None
231;Всех скорбящих Радость;False;74,5 x 53,5 см;Иван Григорьев Кузнецов;Дерево, темпера;Спаситель, Богоматерь, скорбящие;1736 г.;18;Россия;Лальский районный историко-краеведческий музей;Богоматерь;Сюжетная композиция;Ангелы и скорбящие
251;Грузинская;False;32 x 27,5 см;Афанасий Стефанов Соколов (?);Дерево, темпера;Спаситель, Богоматерь;середина;18;Россия;Частное собрание;Богоматерь;Поясное;None
252;Грузинская;False;42 x 31 см;Алексей Гмызин;Дерево, темпера;Спаситель, Богоматерь;1750 г.;18;Россия;"Государственное музейное объединение ""Художественная культура Русского Севера"", Архангельск";Богоматерь;Поясное;None
261;Донская (на обороте Успение Богоматери);False;86 х 67 см;Феофан Грек (?);Дерево, темпера;Младенец-Христос, Богородица;1380 - 1390 гг.;14;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;Богоматерь (Донская)
267;Елеуса Кикская;True;146 х 121 см;Симон Ушаков;Дерево, темпера;Спаситель, Богоматерь;1675 г.;17;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;Спаситель и Богоматерь (Елеуса Киккская)
269;Елеуса Кикская;False;130 х 76 см;Симон Ушаков;Дерево, левкас, темпера;Спаситель, Богородица;1668 г.;17;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;Спаситель и Богоматерь (Елеуса Кикская), Спаситель (Елеуса Кикская)
273;Жена, облеченная в солнце;True;162 х 72,8 см;Козьма Волков;Дерево, левкас, темпера;Спаситель, Богородица;1782 г.;18;Россия;Великоустюгский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;None
277;Живоносный Источник;False;170,5 х 116 см;Кирилл Уланов;Дерево, темпера;Спаситель, Богоматерь, ангелы;1703 г.;18;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Сюжетная композиция;Спаситель и Богоматерь (Живоносный Источник), Михаил архангел
279;Живоносный источник;False;56,5 x 43 см;Василий Куфтин;Дерево, темпера;Спаситель, Богородица, ангелы;середина;18;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Сюжетная композиция;None
294;Знамение;False;60,5 х 53,3 см;Георгий Алексеев;Дерево, темпера;Спаситель, Богоматерь;1727 г.;18;Россия;Церковно-Археологический кабинет Московской Православной Духовной Академии;Богоматерь;Поясное;None
298;Знамение;False;100,5 х 79,6 см;Успенский Л. А.;Дерево, левкас, темпера;Младенец-Христос, Богородица;1972 г.;20;Франция;"Храм иконы ""Всех скорбящих радость"" и св. Женевьевы, Париж";Богоматерь;Поясное;None
300;Иверская;True;135 x 81см;Иеромонах Ямвлих;Дерево, левкас, темпера;Спаситель, Богородица;1648 г.;17;Греция;"Государственный Исторический музей, филиал ""Новодевичий монастырь"", Москва";Богоматерь;Поясное;None
305;Иверская;False;29 х 21,5 см;Михаил Фунтусов;Дерево, темпера;Спаситель, Богоматерь;1770 - 1780 гг.;18;Россия;Центральный музей древнерусской культуры и искусства имени Андрея Рублева, Москва;Богоматерь;Поясное;None
306;Игоревская;False;33 х 27 см;Макариевская мастерская;Дерево, темпера;Младенец-Христос, Богородица;середина;16;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Оглавное или оплечное;None
310;Иерусалимская;True;23,5 х 18,5 см;Василий Грязнов;Дерево, темпера;Младенец-Христос, Богородица;1721 г.;18;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;None
312;Иерусалимская;False;220 х 155 см;Семен Фалеев;Дерево, темпера;Спаситель, Богоматерь;1740 г.;18;Россия;Калужское епархиальное управление;Богоматерь;Поясное;None
314;Ильинская-Черниговская (с акафистом);True;35 х 30 см;Яким Максимов;Дерево, темпера, серебро, чеканка, гравировка, золочение;Младенец-Христос, Богородица;1789 г.;18;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное с клеймами;Акафист Богоматери, клеймо 16,18, Акафист Богоматери, клеймо 17,24, Акафист Богоматери, клеймо 8,10, Акафист Богоматери, клеймо 9,11
315;Испанская;True;180 х 140 см;Артемий Катунец, Иван Рефусицкий, Флор Луховлянин;Дерево, темпера, серебро, басма, гравировка, золочение;Младенец-Христос, Богородица;1686 г.;17;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Тронное;None
316;Казанская;True;31,5 х 26,2 см;Феодот Феофанов Протопопов-Ухтомский;Дерево, левкас, темпера;Младенец-Христос, Богородица;1720 г.;18;Россия;Частное собрание В.А. Бондаренко;Богоматерь;Оглавное или оплечное;None
317;Казанская;False;32,6 х 27,6 см;Симон Ушаков;Дерево, темпера;Младенец-Христос, Богородица;1659 г.;17;Россия;Частное собрание;Богоматерь;Оглавное или оплечное;None
318;Казанская;True;91,5 х 77,5 см;Поп Тимофей (Тимофей Ростовцев);Дерево, темпера;Младенец-Христос, Богородица;1649 г.;17;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Оглавное или оплечное;None
324;Казанская;False;144,5 x 79 см;Григорий Степанов;Дерево, темпера;Спаситель, Богоматреь;1785 г.;18;Россия;Частное собрание;Богоматерь;Поясное;None
331;Казанская, с избранными святыми;True;107 х 85 см;Тихон Семенов;Дерево, темпера;Спаситель, Богоматерь, апостол Иаков, преподобный Алексий, человек Божий, равноапостольный Константин, равноапостольная Елена;1721 г.;18;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Оглавное или оплечное;None
337;Кипрская, с чудесами;False;157 х 107 см;Семен Спиридонов;Дерево, левкас, темпера;Спаситель, Богородица;1680 г.;17;Россия;Ярославский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое с клеймами;None
340;Коронование Богоматери;True;118,0 х 102,0 см;Патракеев Филипп;Дерево;Спаситель, Богоматерь;1794 г.;18;Россия;"Музей-заповедник ""Щелыково""";Богоматерь;Сюжетная композиция;None
346;Корсунская;False;36,5 x 31 см;Алексей Иванов Квашнин;Дерево, темпера;Спаситель, Богоматерь;1708 г.;18;Россия;Частное собрание;Богоматерь;Оглавное или оплечное;None
359;Млекопитательница;False;45 х 37,5 х 3,4;Иоаннис;Дерево, темпера;Спаситель, Богоматерь;1778 г.;18;Греция;Собрание Велимезиса;Богоматерь;Поясное;None
370;Неувядаемый Цвет (с праотцем Иессеем);False;81 х 53 см;Антониос Сигалас;Дерево, левкас, темпера;Спаситель, Богородица, праотец Иессеей, пророки, евангелисты;1786 г.;18;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное с клеймами;None
371;Неувядаемый Цвет (со святыми);False;57 х 41 см;Дичо Зограф из с. Тресонче;Дерево, темпера;Младенец-Христос, Богородица;1844 г.;19;Македония;Галерея икон, Охрид;Богоматерь;Поясное;None
376;О Всепетая Мати;False;121 х 71 см;Иван Дьяков;Дерево, темпера;Богоматерь;1733 г.;18;Россия;Яренский краеведческий музей;Богоматерь;Ростовое;None
386;Одигитрия (в рост);False;155 х 73 см;Георгий Каллиергис;Дерево, темпера;Младенец-Христос, Богородица;начало;14;Византия;Афон, монастырь Ватопед;Богоматерь;Ростовое;Спаситель и Богоматерь (Одигитрия), Богоматерь (Одигитрия), Спаситель (Одигитрия)
387;Одигитрия (в рост);True;143 х 44,5 см;Григорий;Дерево, левкас, темпера;Спаситель, Богородица;до 1616 г.;17;Россия;Пермская государственная художественная галерея;Богоматерь;Ростовое;None
392;Одигитрия (на обороте Воздвижение Креста);False;72 x 56 см;Алексей Федоров Бачилов;Дерево, темпера;Спаситель, Богоматерь;1768 г.;18;Россия;Частное собрание;Богоматерь;Поясное;None
397;Одигитрия (с Иоанном Предтечей и апостолом Петром);False;100 х 74 см;Круг Дионисия (?);Дерево, левкас, темпера;Спаситель, Богоматерь, архангел Михаил, архангел Гавриил, Иоанн Креститель, ап. Петр;последняя четверть;15;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
409;Одигитрия Смоленская;True;133,5 x 96,5 см;Степан Соколов;Дерево, левкас, темпера;Спаситель, Богородица;1718 г.;18;Россия;Великоустюгский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;None
412;Одигитрия Смоленская;True;141,5 х 107 см;Семен Хромой;Дерево, левкас, темпера;Спаситель, Богородица;до 1616 г.;17;Россия;Пермская государственная художественная галерея;Богоматерь;Поясное;None
420;Одигитрия;False;135 х 111 см;Дионисий;Дерево, темпера;Младенец-Христос, Богородица;1482 г.;15;Россия;Государственная Третьяковская галерея, Москва;Богоматерь;Поясное;None
428;Одигитрия;False;96,2 х 62,5 см;Мастерская Иоанна Теодорова из Грамоста;Дерево, темпера;Младенец-Христос, Богородица;1535 г.;16;Македония;Музей Македонии, Скопье;Богоматерь;Поясное;None
435;Одигитрия;False;130 х 94 см;Феофан Критский (?);Дерево, темпера;Младенец-Христос, Богородица;1535 - 1546 гг.;16;Греция;Афон, монастырь Пантократор;Богоматерь;Поясное;Богоматерь (Одигитрия)
451;Одигитрия;True;147,0 х 110,0 см;Вощин Василий Никитин;Дерево, темпера, медь, басма,канфарение, золочение;Спаситель, Богоматерь, ангелы;1755 г.;18;Россия;Собор Богоявления Богоявленского Анастасиина монастыря в Костроме;Богоматерь;Поясное;None
459;Одигитрия;False;28,5 x 24,5 см;Иван Федоров Рожнов;Дерево, темпера;Спаситель, Богоматерь;1732 г.;18;Россия;Частное собрание;Богоматерь;Поясное;None
460;Одигитрия;True;179 x 138 см;Мастерская Михаила и Димитрия Белозерцев;Дерево, левкас, темпера;Спаситель, Богородица;1690 - 1695 гг.;17;Россия;Белозерский областной краеведческий музей;Богоматерь;Поясное;None
461;Одигитрия;True;141,2 x 105,7 см;Дионисий;Дерево, левкас, темпера;Спаситель, Богородица;около 1502 г.;16;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Поясное;Богоматерь (Одигитрия)
462;Одигитрия;False;135 x 95 см;Артемий Петров Кузнецов;Дерево, темпера;Спаситель, Богоматерь;1701 г.;18;Россия;Соликамский краеведческий музей;Богоматерь;Поясное;None
479;Одигитрия;False;92,5 х 38 см;Успенский Л. А.;Дерево, левкас, темпера;Младенец-Христос, Богородица;1968 г.;20;Франция;"Храм иконы ""Всех скорбящих радость"" и св. Женевьевы, Париж";Богоматерь;Ростовое;None
484;Одигитрия;False;89 х 64,2 см;Михаил Дамаскенос;Дерево, левкас, темпера;Спаситель, Богородица;вторая половина;16;Греция;Византийский и христианский музей, Афины;Богоматерь;Поясное;None
487;Палестинская;False;40 х 30 см;Семен Хромой;Дерево, темпера;Младенец-Христос, Богородица;16 - 17 вв.;16;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Поясное;None
497;Пелагонитиса;False;134,5 х 94 см;Иеромонах Макарий Зограф;Дерево, левкас, темпера;Младенец-Христос, Богородица;1421 - 1422 гг.;15;Македония;Музей Македонии, Скопье;Богоматерь;Поясное;Спаситель и Богоматерь (Пелагонитисса)
504;Печерская (с Киево-Печерскими чудотворцами);True;40,4 х 39,8 см;Кирилл Уланов;Дерево, темпера;Киево-печерские святые: преподобный Антоний (+1073), преподобный Феодосий (+1074), преподобные Ефрем Евнух, еп. Переяславский (+1097), Исайя, еп. Ростовский (+1090), Стефан, игумен Печерский (+1094), Никита затворник, еп. Новгородский (+1108), Дамиан, целебник Печерский (+1071), Иеремия, прозорливый (+1070), Матфей, прозорливый (+1085), Варлаам, первый игумен Печерский (+1065), Исаакий, затворник (+1090), Иоанн, многострадальный (+1160), Прохор, лебедник (+1107), Марк, гробокопатель и Феофил (11-12 вв.), Спиридон и Никодим, просфорники печерские (12 в.), Кукша, свящмч. (+1114), Лаврентий, затворник(13-14 вв.), Афанасий, затворник (13 в.), Никола, святоша (+1143), Нифонт, еп. Новгородский (+1156), Симон, еп. Владимирский и Суздальский (+1226), Никон, игумен Печерский (+1088), Поликарп, архим. Печерский (+1182), Никодим (?), Алимпий, иконописец (+1114), Агапит, врач (11 в.), Григорий, чуд. (+1093), Моисей Угрин (+1043), Феодор и Василий, прпмуч. (+1098), Пимен, многоболезный (+1110), Евстратий, постник и мч. (+1097), Никон Сухой (12в.), Еразм (+1190), Нестор, летописец (+1114);1721 г.;18;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Многофигурное;Святители (Печерская Богоматерь, с киевскими святыми)
513;Силуамская;False;123 x 82,5 см;Мастера Оружейной палаты Московского Кремля;Дерево, темпера;Спаситель, Богоматерь, ангелы;первая четверть;18;Россия;Государственный музей истории религии, Санкт-Петербург;Богоматерь;Поясное;None
518;Собор Богоматери;False;49,5 x 21 см;Михаил Фунтусов;Дерево, темпера;Спаситель, Богоматерь, ангелы, пророки, святители;1755 г.;18;Россия;Государственный Эрмитаж, Санкт-Петербург;Богоматерь;Сюжетная композиция;None
524;Страстная;True;105 х 77,7 см;Мастер Иеремия;Дерево, левкас, темпера;Спаситель, Богородица, ангелы;вторая половина;17;Греция;Государственный Исторический музей, Москва;Богоматерь;Поясное;None
531;Тихвинская (с клеймами чудес);True;145 х 90 см;Кирилл Уланов;Дерево, левкас, темпера;Спаситель, Богородица;1697 г.;17;Россия;"Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник ""Коломенское""";Богоматерь;Многофигурное;None
541;Тихвинская;False;32 x 29,5 см;Иван Васильев Бессонов;Дерево, темпера;Спаситель, Богоматерь;1763 г.;18;Россия;Частное собрание;Богоматерь;Поясное;None
542;Тихвинская;False;89 x 71 см;Яков Прокопьев Бетелев;Дерево, темпера;Спаситель, Богоматерь;1780 г.;18;Россия;Частное собрание;Богоматерь;Поясное;None
549;Толгская;True;62,4 x 49,0 см;Андреев Иван;Дерево, темпера;Спаситель, Богоматерь;1715 г.;18;Россия;Ярославский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;None
550;Толгская;True;62 х 48,5;Андреев Иван;Дерево, темпера;Спаситель, Богоматерь;1740 - 1750 гг.;18;Россия;Рыбинский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;Спаситель и Богоматерь (Толгская)
551;Толгская;True;63,0 х 48,2 см;Андреев Иван;Дерево, темпера;Спаситель, Богоматерь;1744 г.;18;Россия;Государственный Исторический музей, Москва;Богоматерь;Поясное;None
552;Толгская;True;63,0 х 49,0 см;Вощин Василий Никитин;Дерево, темпера;Спаситель, Богоматерь, преподобный Сергий Радонежский, преподобный Геннадий Костромской, пророк Наум, мученик Андрей Стратилат;1756 г.;18;Россия;Частное собрание, Москва;Богоматерь;Поясное;None
